,County,Housing_Counts,State,FIPS
0,Adams,30278,IL,17001
1,Alexander,3977,IL,17003
2,Bond,7286,IL,17005
3,Boone,20097,IL,17007
4,Brown,2451,IL,17009
5,Bureau,15680,IL,17011
6,Calhoun,2895,IL,17013
7,Carroll,8469,IL,17015
8,Cass,5828,IL,17017
9,Champaign,93396,IL,17019
10,Christian,15601,IL,17021
11,Clark,7827,IL,17023
12,Clay,6437,IL,17025
13,Clinton,15934,IL,17027
14,Coles,23489,IL,17029
15,Cook,2200221,IL,17031
16,Crawford,8696,IL,17033
17,Cumberland,4875,IL,17035
18,De Witt,7580,IL,17039
19,DeKalb,41248,IL,17037
20,Douglas,8467,IL,17041
21,DuPage,361429,IL,17043
22,Edgar,8833,IL,17045
23,Edwards,3192,IL,17047
24,Effingham,14906,IL,17049
25,Fayette,9315,IL,17051
26,Ford,6356,IL,17053
27,Franklin,18630,IL,17055
28,Fulton,16372,IL,17057
29,Gallatin,2752,IL,17059
30,Greene,6426,IL,17061
31,Grundy,21138,IL,17063
32,Hamilton,4096,IL,17065
33,Hancock,9242,IL,17067
34,Hardin,2480,IL,17069
35,Henderson,3872,IL,17071
36,Henry,22168,IL,17073
37,Iroquois,13511,IL,17075
38,Jackson,29026,IL,17077
39,Jasper,4344,IL,17079
40,Jefferson,17009,IL,17081
41,Jersey,10167,IL,17083
42,Jo Daviess,13742,IL,17085
43,Johnson,5642,IL,17087
44,Kane,189472,IL,17089
45,Kankakee,45652,IL,17091
46,Kendall,42199,IL,17093
47,Knox,23890,IL,17095
48,Lake,265150,IL,17097
49,LaSalle,50147,IL,17099
50,Lawrence,7172,IL,17101
51,Lee,15108,IL,17103
52,Livingston,15919,IL,17105
53,Logan,12045,IL,17107
54,Macon,50393,IL,17115
55,Macoupin,21787,IL,17117
56,Madison,119630,IL,17119
57,Marion,18225,IL,17121
58,Marshall,5905,IL,17123
59,Mason,7044,IL,17125
60,Massac,7150,IL,17127
61,McDonough,14411,IL,17109
62,McHenry,118814,IL,17111
63,McLean,72680,IL,17113
64,Menard,5749,IL,17129
65,Mercer,7424,IL,17131
66,Monroe,14359,IL,17133
67,Montgomery,13145,IL,17135
68,Morgan,15457,IL,17137
69,Moultrie,6533,IL,17139
70,Ogle,22691,IL,17141
71,Peoria,83638,IL,17143
72,Perry,9647,IL,17145
73,Piatt,7433,IL,17147
74,Pike,8005,IL,17149
75,Pope,2494,IL,17151
76,Pulaski,3170,IL,17153
77,Putnam,3163,IL,17155
78,Randolph,13958,IL,17157
79,Richland,7513,IL,17159
80,Rock Island,66171,IL,17161
81,Saline,11691,IL,17165
82,Sangamon,91932,IL,17167
83,Schuyler,3451,IL,17169
84,Scott,2457,IL,17171
85,Shelby,10626,IL,17173
86,St. Clair,120596,IL,17163
87,Stark,2660,IL,17175
88,Stephenson,21926,IL,17177
89,Tazewell,59036,IL,17179
90,Union,8011,IL,17181
91,Vermilion,36129,IL,17183
92,Wabash,5565,IL,17185
93,Warren,7689,IL,17187
94,Washington,6665,IL,17189
95,Wayne,7981,IL,17191
96,White,7171,IL,17193
97,Whiteside,25820,IL,17195
98,Will,245200,IL,17197
99,Williamson,31380,IL,17199
100,Winnebago,125715,IL,17201
101,Woodford,15640,IL,17203
102,Adair,11602,MO,29001
103,Andrew,7337,MO,29003
104,Atchison,2956,MO,29005
105,Audrain,10936,MO,29007
106,Barry,17638,MO,29009
107,Barton,5591,MO,29011
108,Bates,7842,MO,29013
109,Benton,14216,MO,29015
110,Bollinger,5883,MO,29017
111,Boone,78940,MO,29019
112,Buchanan,38804,MO,29021
113,Butler,19854,MO,29023
114,Caldwell,4716,MO,29025
115,Callaway,18997,MO,29027
116,Camden,41970,MO,29029
117,Cape Girardeau,34213,MO,29031
118,Carroll,4650,MO,29033
119,Carter,3264,MO,29035
120,Cass,42427,MO,29037
121,Cedar,7255,MO,29039
122,Chariton,4151,MO,29041
123,Christian,34786,MO,29043
124,Clark,3499,MO,29045
125,Clay,98926,MO,29047
126,Clinton,9033,MO,29049
127,Cole,33508,MO,29051
128,Cooper,7505,MO,29053
129,Crawford,12078,MO,29055
130,Dade,3951,MO,29057
131,Dallas,7679,MO,29059
132,Daviess,4195,MO,29061
133,DeKalb,4350,MO,29063
134,Dent,7308,MO,29065
135,Douglas,6527,MO,29067
136,Dunklin,14437,MO,29069
137,Franklin,45533,MO,29071
138,Gasconade,8194,MO,29073
139,Gentry,3211,MO,29075
140,Greene,134568,MO,29077
141,Grundy,5006,MO,29079
142,Harrison,4383,MO,29081
143,Henry,10970,MO,29083
144,Hickory,6865,MO,29085
145,Holt,2795,MO,29087
146,Howard,4592,MO,29089
147,Howell,18299,MO,29091
148,Iron,5322,MO,29093
149,Jackson,326019,MO,29095
150,Jasper,51797,MO,29097
151,Jefferson,91627,MO,29099
152,Johnson,22388,MO,29101
153,Knox,2273,MO,29103
154,Laclede,16034,MO,29105
155,Lafayette,14826,MO,29107
156,Lawrence,16716,MO,29109
157,Lewis,4544,MO,29111
158,Lincoln,21847,MO,29113
159,Linn,6386,MO,29115
160,Livingston,6836,MO,29117
161,Macon,7672,MO,29121
162,Madison,5988,MO,29123
163,Maries,4627,MO,29125
164,Marion,13079,MO,29127
165,McDonald,9966,MO,29119
166,Mercer,2128,MO,29129
167,Miller,12956,MO,29131
168,Mississippi,5723,MO,29133
169,Moniteau,6178,MO,29135
170,Monroe,4853,MO,29137
171,Montgomery,6263,MO,29139
172,Morgan,15593,MO,29141
173,New Madrid,8608,MO,29143
174,Newton,24790,MO,29145
175,Nodaway,9779,MO,29147
176,Oregon,5479,MO,29149
177,Osage,6686,MO,29151
178,Ozark,5700,MO,29153
179,Pemiscot,8175,MO,29155
180,Perry,8808,MO,29157
181,Pettis,18253,MO,29159
182,Phelps,20475,MO,29161
183,Pike,7929,MO,29163
184,Platte,42366,MO,29165
185,Polk,13618,MO,29167
186,Pulaski,19165,MO,29169
187,Putnam,2983,MO,29171
188,Ralls,5197,MO,29173
189,Randolph,10772,MO,29175
190,Ray,10106,MO,29177
191,Reynolds,4029,MO,29179
192,Ripley,6627,MO,29181
193,Saline,10189,MO,29195
194,Schuyler,2095,MO,29197
195,Scotland,2369,MO,29199
196,Scott,17300,MO,29201
197,Shannon,4162,MO,29203
198,Shelby,3202,MO,29205
199,St. Charles,156324,MO,29183
200,St. Clair,5651,MO,29185
201,St. Francois,30244,MO,29187
202,St. Louis,441973,MO,29189
203,Ste. Genevieve,8730,MO,29186
204,Stoddard,13751,MO,29207
205,Stone,21257,MO,29209
206,Sullivan,3341,MO,29211
207,Taney,31005,MO,29213
208,Texas,11727,MO,29215
209,Vernon,9590,MO,29217
210,Warren,15714,MO,29219
211,Washington,11051,MO,29221
212,Wayne,8096,MO,29223
213,Webster,14831,MO,29225
214,Worth,1270,MO,29227
215,Wright,8717,MO,29229
216,Anderson,20479,TX,48001
217,Andrews,6274,TX,48003
218,Angelina,36984,TX,48005
219,Aransas,15962,TX,48007
220,Archer,4173,TX,48009
221,Armstrong,914,TX,48011
222,Atascosa,18482,TX,48013
223,Austin,13288,TX,48015
224,Bailey,2770,TX,48017
225,Bandera,11990,TX,48019
226,Bastrop,30168,TX,48021
227,Baylor,2646,TX,48023
228,Bee,10730,TX,48025
229,Bell,142422,TX,48027
230,Bexar,700132,TX,48029
231,Blanco,5851,TX,48031
232,Borden,390,TX,48033
233,Bosque,9763,TX,48035
234,Bowie,40028,TX,48037
