,County_Code,Policy_Effective_Year,Total_Policy_Insurance_Cost,Units_Per_Policy,Building_Limits_Purchased,Contents_Limits_Purchased,Policy_Insurance_Premium,Policy_Sold_Count
0,,2018,1042.3707637835103,2031.0,401501800.0,139701200.0,775.4865958523014,1977
1,,2019,982.291101055807,2713.0,565284400.0,200235000.0,734.3880090497737,2652
2,,2020,770.5836053681538,5575.0,1234324800.0,466689300.0,567.4905694595575,5514
3,,2021,807.9507550886408,1547.0,346073500.0,121923900.0,594.9954038082732,1523
4,22019,2018,591.0,1.0,125000.0,50000.0,275.0,1
5,22019,2019,668.0,1.0,150000.0,60000.0,320.0,1
6,22019,2020,779.0,1.0,200000.0,80000.0,406.0,1
7,35,2018,450.0,1.0,250000.0,100000.0,348.0,1
8,35,2019,482.0,1.0,250000.0,100000.0,376.0,1
9,35,2020,516.0,1.0,250000.0,100000.0,395.0,1
10,35013,2018,979.4,5.0,1230200.0,426900.0,799.6,5
11,35013,2019,1141.0,4.0,980200.0,326900.0,943.25,4
12,35013,2020,982.5,4.0,900000.0,326900.0,792.75,4
13,35013,2021,1062.75,4.0,900000.0,326900.0,855.25,4
14,39093,2018,396.0,1.0,0.0,39000.0,105.0,1
15,39093,2019,398.0,1.0,0.0,41000.0,107.0,1
16,39093,2020,405.0,1.0,0.0,43100.0,110.0,1
17,48,2018,1336.6971830985915,142.0,28488100.0,9994700.0,1022.3591549295775,142
18,48,2019,1088.827922077922,308.0,67381900.0,24147700.0,828.2727272727273,308
19,48,2020,1225.696682464455,211.0,46670100.0,17441600.0,924.7582938388625,211
20,48,2021,1117.4761904761904,21.0,4838800.0,1556300.0,818.8095238095239,21
21,48001,2018,633.8679245283018,53.0,9175200.0,3383600.0,475.0188679245283,53
22,48001,2019,705.2982456140351,57.0,10223500.0,3695700.0,532.9122807017544,57
23,48001,2020,896.1481481481482,54.0,10088500.0,3913600.0,663.8703703703703,54
24,48001,2021,1134.6363636363637,11.0,1600000.0,480000.0,839.0,11
25,48003,2018,425.0,1.0,200000.0,80000.0,326.0,1
26,48003,2019,453.0,1.0,200000.0,80000.0,350.0,1
27,48003,2020,461.0,2.0,350000.0,140000.0,353.0,2
28,48003,2021,537.0,1.0,200000.0,80000.0,413.0,1
29,48005,2018,1171.9218106995884,486.0,93093800.0,26760500.0,888.0987654320987,486
30,48005,2019,1156.6177685950413,484.0,95594700.0,25902000.0,874.6838842975206,484
31,48005,2020,1271.0820734341253,463.0,90862600.0,25158200.0,960.4298056155508,463
32,48005,2021,1271.851851851852,108.0,21939400.0,6029000.0,954.3518518518518,108
33,48007,2018,807.6014281077572,6905.0,1366189800.0,482008700.0,554.5666991236611,6162
34,48007,2019,841.2355011733155,6518.0,1327209200.0,473564600.0,583.9329534026148,5966
35,48007,2020,861.7588466579292,6648.0,1368991900.0,489574200.0,587.8310943643512,6104
36,48007,2021,964.2537313432836,1295.0,271129600.0,97236200.0,672.6044776119403,1206
37,48009,2018,657.8039215686274,51.0,11141100.0,3312000.0,494.62745098039215,51
38,48009,2019,697.1304347826087,46.0,9642800.0,3218000.0,547.2608695652174,46
39,48009,2020,634.1111111111111,45.0,9494400.0,3260700.0,484.46666666666664,45
40,48009,2021,1053.5238095238096,21.0,4119500.0,1345000.0,819.0,21
41,48013,2018,1118.5,204.0,36315000.0,13347000.0,852.2156862745098,204
42,48013,2019,1278.7608695652175,184.0,34144800.0,12409000.0,1001.1032608695652,184
43,48013,2020,1397.989247311828,186.0,36683500.0,12619200.0,1082.3440860215053,186
44,48013,2021,1608.811320754717,53.0,10612300.0,4960300.0,1235.4150943396226,53
45,48015,2018,735.1616766467066,668.0,127861600.0,48300900.0,569.4071856287425,668
46,48015,2019,792.6153846153846,676.0,138075300.0,53079400.0,604.1346153846154,676
47,48015,2020,812.0917030567686,687.0,142732900.0,54749400.0,609.9854439592431,687
48,48015,2021,913.6610169491526,118.0,25238400.0,9180500.0,694.2627118644068,118
49,48017,2018,1267.1176470588234,17.0,1054100.0,70000.0,946.3529411764706,17
50,48017,2019,1467.1052631578948,19.0,1247200.0,115100.0,1133.2105263157894,19
51,48017,2020,1774.157894736842,19.0,1365800.0,158200.0,1383.6842105263158,19
52,48017,2021,2364.8333333333335,6.0,416900.0,43100.0,1845.1666666666667,6
53,48019,2018,1021.7483731019523,461.0,84606400.0,24231100.0,749.8177874186551,461
54,48019,2019,992.9977628635347,447.0,84439700.0,24575300.0,727.4071588366891,447
55,48019,2020,976.8937093275488,461.0,87173100.0,26147700.0,695.5661605206074,461
56,48019,2021,1211.4252873563219,87.0,17989600.0,5004500.0,881.0919540229885,87
57,48021,2018,840.0582655826558,738.0,141341400.0,48674300.0,649.3712737127371,738
58,48021,2019,910.7953555878084,689.0,138182400.0,47014400.0,705.1451378809869,689
59,48021,2020,989.807917888563,682.0,141898600.0,50052500.0,762.4618768328446,682
60,48021,2021,1193.530303030303,132.0,27766100.0,9966000.0,925.2424242424242,132
61,48023,2018,885.8333333333334,6.0,761300.0,210000.0,712.3333333333334,6
62,48023,2019,971.75,4.0,413800.0,111500.0,785.25,4
63,48023,2020,1231.8,5.0,508800.0,121500.0,984.4,5
64,48025,2018,921.7665505226481,287.0,48168000.0,13572700.0,676.226480836237,287
65,48025,2019,979.0594405594405,286.0,51225400.0,14368400.0,732.3111888111888,286
66,48025,2020,1027.2101449275362,276.0,49584200.0,14556900.0,759.3804347826087,276
67,48025,2021,1199.7384615384615,65.0,11816500.0,2721500.0,911.4153846153846,65
68,48027,2018,890.3985815602837,1410.0,293366200.0,95781500.0,663.2354609929077,1410
69,48027,2019,932.5349544072948,1316.0,274440200.0,90361200.0,703.9240121580547,1316
70,48027,2020,1025.0991412958626,1281.0,272054400.0,87724900.0,770.0288836846214,1281
71,48027,2021,1089.9079365079365,315.0,72194200.0,23810700.0,813.3809523809524,315
72,48029,2018,825.5912657795974,9050.0,1802730000.0,640305600.0,621.2996701921984,8793
73,48029,2019,875.6182182683874,8210.0,1681672100.0,596660300.0,666.8169402330535,7981
74,48029,2020,945.0098917257051,7693.0,1595583800.0,566690700.0,715.1225771955621,7481
75,48029,2021,1065.6959544879899,1728.0,326492900.0,115380600.0,801.9987357774968,1582
76,48031,2018,706.3937007874016,127.0,24592400.0,8474800.0,491.9527559055118,127
